"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KABALE","49741",null,null,"0","ADM2","KABALE","49741","UGA0512649741","2022","295662","41984","89290","154040","Non-endemic","0","0","0","0.0","16","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KABAROLE","49742",null,null,"0","ADM2","KABAROLE","49742","UGA0512649742","2022","385216","54701","116335","200698","Endemic (under post-intervention surveillance)","0","0","0","0.0","13","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","KABERAMAIDO","49743",null,null,"0","ADM2","KABERAMAIDO","49743","UGA0512549743","2022","131992","18743","39862","68768","Non-endemic","0","0","0","0.0","7","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","KABONG","49744",null,null,"0","ADM2","KABONG","49744","UGA0512349744","2022","140458","19945","42418","73179","Non-endemic","0","0","0","0.0","6","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","KALANGALA","49745",null,null,"0","ADM2","KALANGALA","49745","UGA0512449745","2022","67911","9643","20509","35382","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","KALIRO","49746",null,null,"0","ADM2","KALIRO","49746","UGA0512549746","2022","301289","42783","90989","156972","Non-endemic","0","0","0","0.0","7","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","KAMULI","49747",null,null,"0","ADM2","KAMULI","49747","UGA0512549747","2022","623427","88527","188275","324805","Non-endemic","0","0","0","0.0","6","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KAMWENGE","49748",null,null,"0","ADM2","KAMWENGE","49748","UGA0512649748","2022","350827","49817","105950","182781","Endemic (under post-intervention surveillance)","0","0","0","0.0","15","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KANUNGU","49749",null,null,"0","ADM2","KANUNGU","49749","UGA0512649749","2022","320555","45519","96808","167009","Endemic (under post-intervention surveillance)","0","0","0","0.0","20","0","0","4","3","0.0","0","0","4","1","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KASESE","49750",null,null,"0","ADM2","KASESE","49750","UGA0512649750","2022","892735","126768","269606","465115","Endemic (under MDA)","128614","128614","123965","96.390000000000001","25","1","1","8","7","96.390000000000001","1","1","8","7","IVM","1","2"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","KATAKWI","49751",null,null,"0","ADM2","KATAKWI","49751","UGA0512549751","2022","210522","29894","63578","109682","Non-endemic","0","0","0","0.0","8","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","Kagadi","49752",null,null,"0","ADM2","Kagadi","49752","UGA0512649752","2022","448655","63709","135494","233749","Endemic (under post-intervention surveillance)","0","0","0","0.0","14","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KISORO","49753",null,null,"0","ADM2","KISORO","49753","UGA0512649753","2022","365191","51857","110288","190265","Endemic (under post-intervention surveillance)","0","0","0","0.0","21","0","0","4","3","0.0","0","0","4","1","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","KOBOKO","49754",null,null,"0","ADM2","KOBOKO","49754","UGA0512349754","2022","264708","37589","79942","137913","Endemic (under post-intervention surveillance)","0","0","0","0.0","16","0","0","2","2","0.0","0","0","2","2","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","KOTIDO","49755",null,null,"0","ADM2","KOTIDO","49755","UGA0512349755","2022","227508","32306","68707","118532","Non-endemic","0","0","0","0.0","7","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","KUMI","49756",null,null,"0","ADM2","KUMI","49756","UGA0512549756","2022","328178","46601","99110","170981","Non-endemic","0","0","0","0.0","6","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","KYENJOJO","49757",null,null,"0","ADM2","KYENJOJO","49757","UGA0512649757","2022","508790","72248","153655","265080","Endemic (under post-intervention surveillance)","0","0","0","0.0","13","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Kalungu","49758",null,null,"0","ADM2","Kalungu","49758","UGA0512449758","2022","234153","33250","70714","121994","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
